;label;sugar
680;Samaroli Jamaica 2000 Rhapsody;0
681;Samaroli Nicaragua 1995;0
685;Santa Teresa 1796;0
683;Santa Teresa 1796  (old bottle, 3/4 empty, recorked);14
684;Santa Teresa 1796 (new bottle);7
686;Santa Teresa Anejo;3
687;Santa Teresa Bicentenario A.J.Vollmer;11
688;Santa Teresa Claro;0
617;Santiago de Cuba 12;14
618;Santiago de Cuba 20;6
619;Santiago de Cuba 25;5
620;Santiago de Cuba Anejo;3
689;Santiago de Cuba Anejo 7 Year Old;0
690;Santiago de Cuba Carta Blanca 3 Year Old;0
691;Santiago de Cuba Extra Anejo 12 Year Old;0
692;Savanna Lontan 7 anos;0
693;Savanna Lotan 7 ans 2002;0
694;Savanna Millenium 15 anos;0
696;Scarlet Ibis;0
695;Scarlet Ibis, 2/3 full;0
697;Sea Wynde;0
698;Secret Treasures Old Guadeloupe 1992;0
699;Selvarey Cacao;26
701;Silver Seal Dennery (St Lucia);0
702;Skotlander Rum I;0
703;Smith & Cross;0
705;St. James 15 yr.;4
706;St. James Heritage;0
707;St. James Reserve Premium;0
708;St. Lucia Distillers 1931 82anv.;17
709;St. Nicholas Abbey 12y;0
710;St. Nicholas Abbey 15y;0
711;St. Nicholas Abbey 5y;0
714;Stroh;0
712;Stroh Cream;25
713;Stroh Jgertee;24
700;Sverin 1984 (45%);0
715;Takanaka St Andr 8yo (40%) ;0
716;Tanduay 1854;5
717;Tegner and Son Punsch;99
718;The Kraken Black Spiced;25
719;The Real McCoy 12 yr;0
720;The Real McCoy 12y;0
721;The Real McCoy 3y;0
722;The Real McCoy 5y;0
723;The Rum Swedes - Barbados 2000 (Rockley Still Style);4
724;Thomas Tew;3
725;Tiburon Rum;6
726;Tilverkas (DR);3
727;Trois Rievieres 1999;0
728;Trois Rivieres 1953;0
730;Trois Rivieres 5yr;0
732;Trois Rivieres 8yr;5
729;Trois Rivires 1953;3
731;Trois Rivires 8 Ans d'Age;4
733;Trois Rivires Millesime 1999;0
734;Trois Rivires Rhum Vieux 5 ans;0
735;Vana Tallinn;32
736;VAT 19;0
737;Velier Albion 17y 1994;0
738;Velier Blairmont;0
739;Velier Caroni 1974;6
740;Velier Caroni 1994;0
742;Velier Caroni 1998 15 Years;0
743;Velier Courcelles 1972 ;4
744;Velier Diamond 1999 15 Years;3
745;Velier Diamond and Port Mourant 1999;0
746;Velier Enmore 1987;0
748;Velier Enmore 1993;0
749;Velier Enmore 1995 16y;0
750;Velier Enmore and Port Mourant 1998;0
751;Velier LBI 1985;16
753;Velier Liberation 2000;0
754;Velier MG 9 anos;0
755;Velier MG 9 ans;5
756;Velier Port Mourant 1975;3
757;Velier Port Mourant 1993;0
759;Velier Port Mourant 1997;0
758;Velier Port Mourant 1997 15y;0
760;Velier UF30E 1985;0
761;Velier Uitvlugt 1996 Modified GS;0
